Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,google_trend_score,Target
2022-01-21,64.51000213623047,67.16000366210938,60.5099983215332,63.8650016784668,19344700,88.2400001525879,105.98760009765624,35.58110779927995,47,0
2022-01-24,63.900001525878906,64.30000305175781,55.09999847412109,60.11000061035156,24115900,86.59300041198732,105.25100006103514,35.216060244399145,62,0
2022-01-25,59.61000061035156,61.93000030517578,58.0,61.10499954223633,16557200,84.21900062561036,103.9834001159668,32.67694059892051,62,1
2022-01-26,60.27000045776367,68.06999969482422,59.0099983215332,62.34999847412109,23694100,82.08900051116943,102.5898001861572,33.47167157862073,62,0
2022-01-27,53.93999862670898,61.70000076293945,53.33100128173828,61.33000183105469,23416400,79.81900062561036,100.68140014648436,29.83408226089167,62,1
2022-01-28,57.119998931884766,57.29999923706055,50.0,53.59999847412109,23965100,77.50400066375732,98.38360023498534,33.73043607225263,62,1
2022-01-31,65.73999786376953,65.93000030517578,57.91999816894531,58.650001525878906,18684900,75.60650043487549,96.77700004577636,42.9745562646371,56,1
2022-02-01,69.62000274658203,71.45999908447266,62.34999847412109,67.27999877929688,24476500,73.95150051116944,95.70180015563965,46.58627623330461,56,0
2022-02-02,64.31999969482422,69.9000015258789,63.54999923706055,69.38999938964844,15610300,72.09800052642822,94.4162000274658,42.61578350170488,56,0
2022-02-03,60.36000061035156,63.91899871826172,59.0,60.82699966430664,19776300,70.61550045013428,93.2612000274658,39.88080466898592,56,1
2022-02-04,60.869998931884766,62.77999877929688,59.11000061035156,62.06499862670898,14588500,69.29250030517578,92.08160003662108,40.41120821206637,56,0
2022-02-07,58.36000061035156,63.83000183105469,57.52000045776367,60.875,14782000,67.89650039672851,90.9518000793457,38.60595977029874,43,1
2022-02-08,60.95000076293945,61.540000915527344,56.43999862670898,58.08000183105469,12079200,66.87200031280517,89.92820014953614,41.50952338742327,43,1
2022-02-09,64.52999877929688,65.12000274658203,60.75,61.86000061035156,13343700,65.92100009918212,88.82340019226075,45.35643192614457,43,1
2022-02-10,64.72000122070312,68.9800033569336,60.65999984741211,61.45500183105469,17665400,64.8329999923706,87.7226001739502,45.56107512655223,43,0
2022-02-11,58.84999847412109,66.4000015258789,57.70000076293945,64.5,15293400,63.76000003814697,86.5858000946045,40.513096429879056,43,1
2022-02-14,62.650001525878906,66.4000015258789,59.900001525878906,60.36000061035156,26874500,62.8950002670288,85.62340019226075,44.7785177349316,47,1
2022-02-15,66.29000091552734,67.18000030517578,63.880001068115234,65.80000305175781,16267400,62.5515001296997,84.85580024719239,48.58180758404892,47,0
2022-02-16,66.25,66.43000030517578,63.34000015258789,65.37000274658203,12768300,62.39400005340576,83.84520027160646,48.542241370214185,47,0
2022-02-17,64.73999786376953,71.5,64.12999725341797,64.68499755859375,22387700,62.38000011444091,82.81640022277833,46.986573392761976,47,1
2022-02-18,66.37000274658203,66.9000015258789,63.0099983215332,65.77300262451172,14965900,62.47300014495849,81.70140022277832,48.890688269891264,47,0
2022-02-22,62.38999938964844,69.0999984741211,59.7599983215332,65.25,22737000,62.397500038146966,80.64120018005372,44.671605481729664,37,0
2022-02-23,57.52999877929688,63.5,57.04999923706055,63.42699813842773,22637000,62.29349994659424,79.49860008239746,40.11881597011544,37,1
2022-02-24,63.709999084472656,64.43000030517578,53.5,54.2400016784668,24082200,62.46549987792969,78.39480003356933,47.4526886599643,37,0
2022-02-25,63.43000030517578,63.9900016784668,60.810001373291016,63.34999847412109,13455200,62.93999996185302,77.32060005187986,47.17080583971234,37,1
2022-02-28,67.55999755859375,68.1500015258789,62.400001525878906,63.4900016784668,19270200,63.46199989318848,76.37180000305173,51.725927972189176,59,0
2022-03-01,61.90999984741211,66.54000091552734,60.79999923706055,65.43000030517578,17204100,63.27049999237061,75.43259994506833,45.895751297509705,59,0
2022-03-02,53.560001373291016,59.13999938964844,53.29999923706055,59.1349983215332,36559800,62.46749992370604,74.54980003356931,38.914848696306926,59,0
2022-03-03,50.90999984741211,56.0,50.02000045776367,54.36000061035156,28535500,61.79699993133545,73.76839996337888,36.99180551811207,59,0
2022-03-04,47.38999938964844,51.40999984741211,46.65999984741211,51.0099983215332,24392200,61.1484998703003,72.77979995727536,34.54951709818332,59,0
2022-03-07,42.43000030517578,49.43999862670898,42.27999877929688,48.0,22985200,60.22649993896485,71.70160003662107,31.40328958262052,80,0
2022-03-08,42.209999084472656,45.060001373291016,39.86000061035156,41.88999938964844,25165000,59.4189998626709,70.60900009155272,31.26728096169307,80,1
2022-03-09,43.95000076293945,46.25,42.68999862670898,43.38999938964844,15784700,58.5689998626709,69.3462001800537,33.71257832753357,80,0
2022-03-10,41.15999984741211,44.18999862670898,39.77000045776367,44.10499954223633,31481100,57.40049991607666,68.11200012207031,31.761356863688075,80,0
2022-03-11,38.04999923706055,41.0,37.5,38.31999969482422,42597900,56.06699981689453,66.8862001800537,29.69796328795153,80,0
